                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8426,                 1.6517,                 1.7374,                0.75093,                0.72999,                 0.7778,                0.41073,                 1.7199,                 1.3924,                 1.7589,               0.006733,               0.006733,               0.006733
                     36,                 1.8476,                 1.6347,                 1.7267,                0.75329,                0.73957,                0.79187,                0.42208,                 1.7009,                  1.347,                 1.7516,               0.006634,               0.006634,               0.006634
                     37,                 1.8236,                  1.592,                 1.7126,                0.76032,                0.74911,                0.80261,                0.43078,                  1.695,                 1.3525,                 1.7349,               0.006535,               0.006535,               0.006535
                     38,                 1.8229,                 1.5877,                 1.7108,                0.78903,                0.75617,                0.81994,                0.43709,                 1.7162,                 1.2932,                 1.7602,               0.006436,               0.006436,               0.006436
                     39,                 1.8132,                 1.5612,                  1.696,                0.75592,                0.76091,                0.81527,                0.44941,                 1.6741,                 1.2806,                  1.732,               0.006337,               0.006337,               0.006337
                     40,                 1.8002,                 1.5538,                 1.6931,                0.75903,                0.76412,                0.80106,                0.43862,                 1.6662,                 1.2802,                 1.7111,               0.006238,               0.006238,               0.006238
                     41,                 1.7853,                 1.5278,                 1.6744,                0.79349,                0.78112,                0.82285,                0.46173,                 1.6329,                 1.2413,                 1.6988,               0.006139,               0.006139,               0.006139
                     42,                 1.7921,                 1.5249,                 1.6901,                0.77409,                0.77147,                0.81857,                 0.4701,                 1.6171,                 1.2373,                 1.6876,                0.00604,                0.00604,                0.00604
                     43,                 1.7762,                 1.4897,                 1.6649,                0.78433,                0.78383,                0.83161,                0.47399,                 1.6129,                  1.233,                 1.6704,               0.005941,               0.005941,               0.005941
                     44,                 1.7589,                 1.4811,                 1.6591,                0.80746,                0.76388,                0.83388,                0.47712,                 1.6046,                  1.217,                 1.6559,               0.005842,               0.005842,               0.005842
                     45,                  1.756,                 1.4768,                 1.6571,                0.80275,                 0.7748,                0.84608,                0.49359,                 1.5947,                 1.1829,                 1.6588,               0.005743,               0.005743,               0.005743
                     46,                 1.7437,                 1.4425,                 1.6479,                0.79979,                0.78794,                0.84825,                 0.4865,                  1.599,                  1.187,                 1.6626,               0.005644,               0.005644,               0.005644
                     47,                 1.7478,                 1.4503,                 1.6459,                0.83847,                0.79499,                0.85302,                0.49205,                 1.5952,                 1.1585,                 1.6499,               0.005545,               0.005545,               0.005545
                     48,                 1.7359,                 1.4294,                 1.6353,                0.81261,                0.78274,                0.84772,                0.49866,                 1.5713,                 1.1719,                 1.6284,               0.005446,               0.005446,               0.005446
                     49,                 1.7178,                 1.4228,                 1.6343,                0.82154,                0.79257,                 0.8611,                0.50766,                 1.5555,                 1.1415,                 1.6199,               0.005347,               0.005347,               0.005347
                     50,                 1.7291,                 1.4298,                 1.6241,                0.84779,                0.79876,                0.86966,                0.51789,                 1.5405,                 1.1092,                 1.5975,               0.005248,               0.005248,               0.005248
                     51,                 1.7061,                 1.4084,                 1.6203,                0.83763,                0.80308,                0.86996,                0.52376,                 1.5189,                 1.1192,                 1.5788,               0.005149,               0.005149,               0.005149
                     52,                 1.6952,                 1.3813,                 1.6178,                0.85141,                0.79478,                0.87292,                0.52884,                 1.5143,                 1.0822,                 1.5769,                0.00505,                0.00505,                0.00505
                     53,                  1.688,                 1.3726,                 1.5971,                0.84557,                0.79761,                0.87333,                0.53006,                 1.4987,                 1.0836,                 1.5623,               0.004951,               0.004951,               0.004951
                     54,                 1.6865,                 1.3625,                 1.5951,                0.86636,                0.80904,                0.88462,                0.53817,                 1.5043,                 1.0756,                 1.5659,               0.004852,               0.004852,               0.004852
                     55,                  1.679,                 1.3626,                  1.597,                0.85164,                0.81495,                0.87888,                0.54485,                 1.4738,                 1.0787,                 1.5471,               0.004753,               0.004753,               0.004753
                     56,                 1.6525,                 1.3197,                 1.5771,                0.86382,                0.82275,                0.89266,                0.55066,                 1.4935,                 1.0304,                 1.5494,               0.004654,               0.004654,               0.004654
                     57,                 1.6592,                 1.3303,                 1.5826,                 0.8792,                0.81466,                0.88778,                0.55228,                 1.4683,                 1.0352,                 1.5391,               0.004555,               0.004555,               0.004555
                     58,                 1.6443,                 1.3201,                 1.5709,                0.88633,                 0.8246,                0.89809,                0.56127,                 1.4637,                 1.0119,                 1.5329,               0.004456,               0.004456,               0.004456
                     59,                 1.6433,                 1.2979,                 1.5692,                0.86826,                  0.819,                0.88944,                0.56445,                 1.4404,                 1.0056,                 1.5184,               0.004357,               0.004357,               0.004357
                     60,                 1.6358,                 1.2821,                  1.562,                0.84975,                 0.8418,                0.89542,                0.56918,                 1.4206,                 0.9829,                 1.4991,               0.004258,               0.004258,               0.004258
                     61,                 1.6228,                 1.2772,                 1.5496,                0.87374,                0.83837,                0.89883,                0.56977,                 1.4324,                0.98437,                 1.5085,               0.004159,               0.004159,               0.004159
                     62,                 1.6088,                 1.2628,                 1.5382,                0.87866,                0.84054,                0.89863,                0.57648,                 1.4307,                0.96305,                 1.5008,                0.00406,                0.00406,                0.00406
                     63,                   1.61,                 1.2513,                 1.5411,                0.88623,                0.83792,                 0.9028,                 0.5859,                 1.4072,                0.95584,                 1.4822,               0.003961,               0.003961,               0.003961
                     64,                 1.5951,                 1.2493,                 1.5294,                0.87455,                0.85196,                0.90515,                0.57874,                 1.4008,                0.95956,                 1.4757,               0.003862,               0.003862,               0.003862
                     65,                 1.5968,                  1.238,                 1.5296,                0.88286,                0.83289,                0.90534,                0.59086,                 1.3856,                0.93926,                 1.4623,               0.003763,               0.003763,               0.003763
                     66,                  1.591,                 1.2441,                 1.5266,                0.86419,                0.84482,                0.90531,                0.58953,                 1.3858,                0.93023,                 1.4659,               0.003664,               0.003664,               0.003664
